Leading protein IDs	Protein name	Gene name	Protein ID	Name	id	MW(kDa)	Coverage_T4T5 (%)	Peptide_count_T4T5	Peptide_ids_T4T5	Evidence_count_T4T5	Evidence_ids_T4T5	Spectral_count_T4T5	Spectrum_ids_T4T5	log10(expression)_original_T4T5	log10(expression)_normalized_T4T5	log10(expression)_imputed_T4T5	log2(ratio)_original_T4T5	log2(ratio)_normalized_T4T5	log2(ratio)_imputed_T4T5	Enriched - T4T5
P07668;P07668-2	Choline O-acetyltransferase;Choline O-acetyltransferase, Isoform B	CHAT	P07668;P07668-2;P07668-3;P07668-3	CLAT;CLAT	58	81.328	14.3	10	183;682;1569;1716;1903;1904;2084;2107;2348;2639	11	250;251;1067;2598;2845;3247;3248;3545;3581;4019;4537	9	231;959;2445;2669;3087;3366;3396;3790;4286	7.57198818075608	7.41547090453383	7.41547090453383	3.07798404149023	1.66157246791689	1.66157246791689	1
D3YE81;Q2XST3;Q9V3N7	Collapsin response mediator protein;Dihydropyrimidinase mutant supA4;BcDNA.HL02693	CRMP;CRMP-RC	D3YE81;Q2XST3;Q9V3N7;D3YE82;Q5U187;Q8IPQ2;Q8IPQ3;Q9VND9;D3YE82;Q5U187;Q8IPQ2;Q8IPQ3;Q9VND9;D3YE82;Q5U187;Q8IPQ2;Q8IPQ3;Q9VND9	D3YE81;Q2XST3;Q9V3N7	98	64.388	14.6	8	86;440;652;881;1184;1367;2389;2592	8	83;669;1006;1397;1862;2233;4082;4465	7	75;604;906;1283;1712;3844;4223	7.55673657824661	7.40021930202436	7.40021930202436	0.218764071808522	-1.19764750176481	-1.19764750176481	0
Q9VBU9	40S ribosomal protein S27	RPS27	Q9VBU9	Q9VBU9	775	9.364	13.1	1	433	2	657;658	1	593	7.55642312137129	7.39990584514904	7.39990584514904	0.698000397759098	-0.718411175814236	-0.718411175814236	0
P54385-2	Glutamate dehydrogenase, mitochondrial, Isoform C	GDH	P54385-2;P54385;A0A0C4DHE7;Q8IMY1	DHE3	76	61.082	11.7	6	330;775;1292;1873;2085;3110	7	501;1220;2111;3201;3547;3548;5342	7	455;1108;2002;3046;3367;3368;5069	7.55370102154996	7.39718374532771	7.39718374532771	1.87313573308571	0.456724159512376	0.456724159512376	0
A8E774;P25007	Peptidyl-prolyl cis-trans isomerase;Peptidyl-prolyl cis-trans isomerase	;CG9916;CYP1;DMEL\CG7768	A8E774;P25007;F6J7B3;Q5U0U2;Q7K2I4;F6J7B3;Q5U0U2;Q7K2I4	A8E774;PPIA	291	24.666	16.7	3	854;1115;2763	4	1352;1763;4761;4762	3	1624;4501;4502	7.55351894014897	7.39700166392672	7.39700166392672	0.430875645149264	-0.98553592842407	-0.98553592842407	0
E1JHJ4;P05661-21;P05661-3	Myosin heavy chain, isoform N;Myosin heavy chain, muscle, Isoform H;Myosin heavy chain, muscle, Isoform BABDB	CG9279;DMEL\CG9279;MHC	E1JHJ4;P05661-21;P05661-3;A0A0S0WIH4;E1JHJ3;M9NCU7;M9ND95;M9NEP1;P05661;P05661-11;P05661-12;P05661-13;P05661-14;P05661-15;P05661-16;P05661-17;P05661-18;P05661-19;P05661-20;P05661-22;P05661-23;P05661-24;P05661-4;P05661-5;P05661-6;P05661-7;P05661-8;P05661-9;Q26433;Q7JQV2;Q86NU4;A0A0S0WIH4;E1JHJ3;M9NCU7;M9ND95;M9NEP1;P05661;P05661-11;P05661-12;P05661-13;P05661-14;P05661-15;P05661-16;P05661-17;P05661-18;P05661-19;P05661-20;P05661-22;P05661-23;P05661-24;P05661-4;P05661-5;P05661-6;P05661-7;P05661-8;P05661-9;Q26433;Q7JQV2;Q86NU4;A0A0S0WIH4;E1JHJ3;M9NCU7;M9ND95;M9NEP1;P05661;P05661-11;P05661-12;P05661-13;P05661-14;P05661-15;P05661-16;P05661-17;P05661-18;P05661-19;P05661-20;P05661-22;P05661-23;P05661-24;P05661-4;P05661-5;P05661-6;P05661-7;P05661-8;P05661-9;Q26433;Q7JQV2;Q86NU4	E1JHJ4;MYSA;MYSA	5	223.02	18.8	32	25;213;214;241;364;393;410;422;434;460;644;646;647;820;907;1096;1318;1396;1404;1431;1456;1476;1737;1880;1933;2026;2067;2468;2553;2706;2799;2819	33	294;296;343;553;594;623;641;659;697;993;995;996;1293;1439;1741;2153;2279;2281;2296;2362;2398;2429;2886;3211;3300;3457;3519;3696;4267;4401;4668;4819;4862	29	270;272;313;496;537;564;578;594;629;895;897;898;1175;1320;1602;2148;2161;2253;2281;2706;3139;3281;3345;3493;4040;4162;4417;4556;4596	7.55027728488793	7.39376000866568	7.39376000866568	0.95633873432487	-0.460072839248464	-0.460072839248464	0
Q4V6N9;Q9VAK5	IP08160p (Fragment);NADH dehydrogenase (Ubiquinone) 20 kDa subunit-like, isoform A	CG2014;ND-20L	Q4V6N9;Q9VAK5	Q4V6N9;Q9VAK5	621	24.374	6.6	1	2093	3	3558;3559;3561	2	3377;3378	7.54793793498596	7.39142065876371	7.39142065876371	1.58484852203366	0.168436948460321	0.168436948460321	0
O18332	FI01544p	RAB1	O18332;Q8MRA4	O18332	180	22.763	29.3	4	1590;2214;2246;2962	4	2635;3793;3846;5076	4	2479;3580;3635;4789	7.5466536904877	7.39013641426545	7.39013641426545	1.99020746190607	0.573795888332736	0.573795888332736	0
C6TP50;Q9W401;Q9W401-2	Citrate synthase (Fragment);Probable citrate synthase, mitochondrial;Probable citrate synthase, mitochondrial, Isoform B	KDN;KDN-RA	C6TP50;Q9W401;Q9W401-2;Q8T9J9;Q8T9J9;Q8T9J9	C6TP50;CISY;CISY	118	55.949	12.5	5	206;683;2280;2308;2990	5	282;1068;3905;3950;5126	4	258;960;3686;4838	7.53943995037844	7.38292267415619	7.38292267415619	-0.365560229205065	-1.7819718027784	-1.7819718027784	0
Q500Y7	GEO11443p1	UQCR-6.4	Q500Y7	Q500Y7	461	6.275	17.5	1	1068	1	1692	1	1538	7.53907609879278	7.38255882257053	7.38255882257053	#NUM!	#NUM!	6.63090585268151	1
A4V4I0;P26308	G protein beta-subunit 13F, isoform C;Guanine nucleotide-binding protein subunit beta-1	GBETA13F	A4V4I0;P26308	A4V4I0;GBB1	281	37.133	10.6	3	6;1562;1941	3	2587;3015;3311	3	2436;2807;3149	7.53515481959104	7.37863754336879	7.37863754336879	3.82478847486386	2.40837690129052	2.40837690129052	1
O97182	Actin-related protein 2/3 complex subunit	ARPC1	O97182	O97182	520	41.601	2.9	1	1395	2	2276;2277	2	2145;2146	7.53261553539746	7.37609825917521	7.37609825917521	#NUM!	#NUM!	7.34420456690486	1
A0A0S0WIF3;A0A0S0WJJ4;C0PTW0;E1JHS9;E1JHT0;M9PCI8;Q967D7;Q967D7-2;Q967D7-4;Q967D7-5	Turtle, isoform K;Turtle, isoform J;RT01550p (Fragment);Turtle, isoform G;Turtle, isoform F;Turtle, isoform H;Protein turtle;Protein turtle, Isoform 2;Protein turtle, Isoform 4;Protein turtle, Isoform 5	TUTL;TUTL-RD	A0A0S0WIF3;A0A0S0WJJ4;C0PTW0;E1JHS9;E1JHT0;M9PCI8;Q967D7;Q967D7-2;Q967D7-4;Q967D7-5;Q967D7-3;Q967D7-3;Q967D7-3;Q967D7-3;Q967D7-3;Q967D7-3;Q967D7-3;Q967D7-3;Q967D7-3;Q967D7-3	A0A0S0WIF3;A0A0S0WJJ4;C0PTW0;E1JHS9;E1JHT0;M9PCI8;TUTL;TUTL;TUTL;TUTL	267	110.676	4.2	3	344;2110;2545	3	524;3585;4387	3	473;3399;4148	7.53071183798166	7.37419456175941	7.37419456175941			7.85803811182269	1
CON__P02538;CON__P48668	Keratin, type II cytoskeletal 6A;Keratin, type II cytoskeletal 6C	KRT4;KRT6A;KRT6C;KRT7;KRT72;KRT75;KRT79;KRT8;KRT81;KRT83;KRT84;KRT85;KRT86	CON__P02538;CON__P48668;CON__O95678;CON__Q14CN4;CON__Q6IME9;CON__O43790;CON__P05787;CON__P07744;CON__P08729;CON__P78385;CON__P78386;CON__Q14533;CON__Q61726;CON__Q8VED5;CON__Q9DCV7;CON__Q9NSB2;CON__O95678;CON__Q14CN4;CON__Q6IME9;CON__O43790;CON__P05787;CON__P07744;CON__P08729;CON__P78385;CON__P78386;CON__Q14533;CON__Q61726;CON__Q8VED5;CON__Q9DCV7;CON__Q9NSB2	K2C6A;K2C6C	867	60.045	17.4	11	83;254;503;1409;1410;1578;1921;2146;3020;3044;3047	16	79;367;779;2314;2317;2318;2615;3275;3276;3277;3669;3670;5170;5243;5244;5250	17	71;332;705;2183;2186;2187;2461;3115;3116;3117;3118;3119;3472;4875;4972;4973;4979	7.52894239741573	7.37242512119348	7.37242512119348	0.446512773263748	-0.969898800309586	-0.969898800309586	0
Q0E8X7	Reduction of Rh1, isoform A	ROH	Q0E8X7	Q0E8X7	395	9.541	18.3	2	312;1141	2	475;1802	2	429;1659	7.52715281708806	7.37063554086581	7.37063554086581	2.48978731094928	1.07337573737595	1.07337573737595	1
C6TP70;D3DMY5;P92177;P92177-1;P92177-2;P92177-4	MIP08648p;AT09839p (Fragment);14-3-3 protein epsilon;14-3-3 protein epsilon, Isoform D;14-3-3 protein epsilon, Isoform B;14-3-3 protein epsilon, Isoform C	14-3-3EPSILON;14-3-3EPSILON-RA;14-3-3EPSILON-RD	C6TP70;D3DMY5;P92177;P92177-1;P92177-2;P92177-4	C6TP70;D3DMY5;1433E;1433E;1433E;1433E	158	29.799	23.3	5	46;320;490;1930;2691	7	13;14;487;756;757;3295;4629	7	11;12;439;687;688;3135;4373	7.52633927738984	7.36982200116759	7.36982200116759	1.88657964137362	0.470168067800286	0.470168067800286	0
A4V133;A4V134;D1YSG7;D1YSG8;Q00168;Q00168-2;Q00168-3;Q00168-4	Calcium/calmodulin-dependent protein kinase;Calcium/calmodulin-dependent protein kinase;Calcium/calmodulin-dependent protein kinase;Calcium/calmodulin-dependent protein kinase;Calcium/calmodulin-dependent protein kinase type II alpha chain;Calcium/calmodulin-dependent protein kinase type II alpha chain, Isoform 2;Calcium/calmodulin-dependent protein kinase type II alpha chain, Isoform 3;Calcium/calmodulin-dependent protein kinase type II alpha chain, Isoform 4	CAMKII;CG18069-RD	A4V133;A4V134;D1YSG7;D1YSG8;Q00168;Q00168-2;Q00168-3;Q00168-4;L0MLP2;L0MLR4;L0MNA2;Q058V4;Q52KB0;L0MLP2;L0MLR4;L0MNA2;Q058V4;Q52KB0;L0MLP2;L0MLR4;L0MNA2;Q058V4;Q52KB0;L0MLP2;L0MLR4;L0MNA2;Q058V4;Q52KB0;L0MLP2;L0MLR4;L0MNA2;Q058V4;Q52KB0;L0MLP2;L0MLR4;L0MNA2;Q058V4;Q52KB0;L0MLP2;L0MLR4;L0MNA2;Q058V4;Q52KB0;L0MLP2;L0MLR4;L0MNA2;Q058V4;Q52KB0	A4V133;A4V134;D1YSG7;D1YSG8;KCC2A;KCC2A;KCC2A;KCC2A	139	55.482	10	4	431;888;1324;2408	4	653;1408;2168;4107	4	589;1291;2048;3867	7.52545945748668	7.36894218126443	7.36894218126443	0	-1.41641157357333	-1.41641157357333	0
A1Z8K9;Q7JR71;Q7JR71-2	Superoxide dismutase [Cu-Zn];Extracellular superoxide dismutase [Cu-Zn];Extracellular superoxide dismutase [Cu-Zn], Isoform 2	SOD3	A1Z8K9;Q7JR71;Q7JR71-2	A1Z8K9;SODE;SODE	388	26.424	7.4	2	2714;2915	2	4681;5000	2	4429;4714	7.52501887823407	7.36850160201182	7.36850160201182			7.6462062649176	1
Q9VMS1	Cyclope, isoform A	CYPE	Q9VMS1	Q9VMS1	426	8.296	29.9	2	65;224	2	46;312	2	39;286	7.52437015454236	7.36785287832011	7.36785287832011	0.771399247968909	-0.645012325604425	-0.645012325604425	0
Q7JYH3	Complex I-B14.7	ND-B14.7	Q7JYH3	Q7JYH3	399	18.414	19.4	2	38;3144	2	3796;5400	2	3582;5145	7.52308281573403	7.36656553951178	7.36656553951178			7.04504399080714	1
Q9VRL0	Cytochrome c1, isoform A	CYT-C1	Q9VRL0	Q9VRL0	295	33.764	7.2	2	89;1938	2	89;3308	2	80;3146	7.52258772073465	7.3660704445124	7.3660704445124	0.853379256740708	-0.563032316832626	-0.563032316832626	0
E1JIZ4;E1JIZ5;Q9U1J0;Q9VB69	Malic enzyme;Malic enzyme;Malic enzyme;Malic enzyme	MEN-B	E1JIZ4;E1JIZ5;Q9U1J0;Q9VB69	E1JIZ4;E1JIZ5;Q9U1J0;Q9VB69	100	69.489	12.3	7	974;1374;1413;2017;2020;2785;2805	8	1540;1541;2245;2323;3440;3444;4798;4829	7	1407;1408;2116;3266;3269;4538;4567	7.5216218170903	7.36510454086805	7.36510454086805	1.69125341734229	0.27484184376896	0.27484184376896	0
H8F4R7;M9NF13;M9PEB7;M9PEM4;M9PHF2;Q9VZA4;Q9VZA4-2;Q9VZA4-3;Q9VZA4-4;Q9VZA5;X2JC20	FI19456p1;Uncharacterized protein, isoform G;Uncharacterized protein, isoform I;Uncharacterized protein, isoform H;Uncharacterized protein, isoform J;Band 7 protein CG42540;Band 7 protein CG42540, Isoform A;Band 7 protein CG42540, Isoform C;Band 7 protein CG42540, Isoform F;Uncharacterized protein, isoform F;Uncharacterized protein, isoform K	CG13719;CG32245;CG42540;CG42540-RD;CG7468	H8F4R7;M9NF13;M9PEB7;M9PEM4;M9PHF2;Q9VZA4;Q9VZA4-2;Q9VZA4-3;Q9VZA4-4;Q9VZA5;X2JC20	H8F4R7;M9NF13;M9PEB7;M9PEM4;M9PHF2;BND7A;BND7A;BND7A;BND7A;Q9VZA5;X2JC20	161	57.526	10.9	5	571;1665;2577;2798;3097	5	878;2753;4439;4818;5322	5	796;2584;4200;4555;5052	7.5140959577297	7.35757868150745	7.35757868150745	2.67080776501175	1.25439619143842	1.25439619143842	1
P00433	Peroxidase C1A, fragment (113-338)	PRXC1A	P00433	PER1A	784	12.349	7.1	1	495	1	768	1	695	7.51300439707794	7.35648712085569	7.35648712085569	#NUM!	#NUM!	7.43082091378549	1
Q8IMQ8;Q9VBA0	RH29536p;GH09623p	DMEL\CG6330	Q8IMQ8;Q9VBA0	Q8IMQ8;Q9VBA0	355	38.676	4.3	1	2322	1	3968	1	3745	7.51276441854001	7.35624714231776	7.35624714231776	2.58987938214618	1.17346780857285	1.17346780857285	1
Q9VKA4;Q9VKA4-2	Probable G-protein coupled receptor CG31760;Probable G-protein coupled receptor CG31760, Isoform B	CG31760	Q9VKA4;Q9VKA4-2	Y1760;Y1760	223	121.472	4.3	4	986;1080;2480;3033	4	1558;1706;4285;5188	4	1421;1552;4056;4891	7.49930209413333	7.34278481791108	7.34278481791108			7.28397304924539	1
G3M3A2;Q06559;Q29QY2	Ribosomal protein S3, isoform B;40S ribosomal protein S3;IP15838p (Fragment)	RPS3	G3M3A2;Q06559;Q29QY2	G3M3A2;RS3;Q29QY2	114	27.471	23.2	6	103;641;883;1368;2061;2599	6	114;989;1400;2237;3511;4475	6	104;892;1285;2108;3338;4232	7.49589107966619	7.33937380344394	7.33937380344394	1.81916355102182	0.402751977448488	0.402751977448488	0
A0A1B2AJQ1;B9EQT5;Q8SY81;Q9XY35	GEO13363p1 (Fragment);GM22210p (Fragment);RH44662p;Cytochrome b-c1 complex subunit 9	;OX;OX-RA	A0A1B2AJQ1;B9EQT5;Q8SY81;Q9XY35	A0A1B2AJQ1;B9EQT5;Q8SY81;QCR9	722	6.294	14.5	1	2828	1	4872	1	4606	7.49221543360409	7.33569815738184	7.33569815738184	1.39387424211116	-0.022537331462177	-0.022537331462177	0
B6IDR5;Q95R45;Q9VZL3	Very-long-chain enoyl-CoA reductase (Fragment);Very-long-chain enoyl-CoA reductase (Fragment);Very-long-chain enoyl-CoA reductase	SC2;SC2-RA	B6IDR5;Q95R45;Q9VZL3	B6IDR5;Q95R45;Q9VZL3	201	34.63	14.1	4	426;493;1291;2898	4	647;765;2110;4971	4	584;693;2001;4688	7.49161379164116	7.33509651541891	7.33509651541891	2.45545316307172	1.03904158949838	1.03904158949838	1
A0A0B4KHS0;A0A0B4LHB7;A0A0B4LHB9;A0A0B4LID6;E1JIQ1;E1JIQ2;Q94900;Q94900-2;Q94900-3;Q94900-4;Q94900-5	GluClalpha, isoform J;GluClalpha, isoform O;GluClalpha, isoform P;GluClalpha, isoform N;GluClalpha, isoform K;GluClalpha, isoform F;Glutamate-gated chloride channel;Glutamate-gated chloride channel, Isoform B;Glutamate-gated chloride channel, Isoform A;Glutamate-gated chloride channel, Isoform C;Glutamate-gated chloride channel, Isoform D	GLUCLALPHA	A0A0B4KHS0;A0A0B4LHB7;A0A0B4LHB9;A0A0B4LID6;E1JIQ1;E1JIQ2;Q94900;Q94900-2;Q94900-3;Q94900-4;Q94900-5;Q0IGX3;Q0IGX3;Q0IGX3;Q0IGX3;Q0IGX3;Q0IGX3;Q0IGX3;Q0IGX3;Q0IGX3;Q0IGX3;Q0IGX3	A0A0B4KHS0;A0A0B4LHB7;A0A0B4LHB9;A0A0B4LID6;E1JIQ1;E1JIQ2;GLUCL;GLUCL;GLUCL;GLUCL;GLUCL	212	52.534	7.7	4	609;785;2836;3101	4	939;1234;4884;5329	3	1119;4618;5057	7.48695443332823	7.33043715710598	7.33043715710598	-0.121051691011577	-1.53746326458491	-1.53746326458491	0
F6J6B9;Q9V3P0;X2JF59	CG1633 (Fragment);Peroxiredoxin 1;Thioredoxin peroxidase 1, isoform C	CG1633;JAFRAC1	F6J6B9;Q9V3P0;X2JF59	F6J6B9;PRDX1;X2JF59	222	19.859	20.6	4	983;1764;2138;2424	4	1555;2926;3651;4188	3	2738;3458;3961	7.48671377598249	7.33019649976024	7.33019649976024	0.874207497744332	-0.542204075829001	-0.542204075829001	0
C8VV69;E1JGP0;P53501	LD47405p;LD04994p1;Actin-57B	ACT57B;ACT57B-RA;ACT57B-RC	C8VV69;E1JGP0;P53501;C6TP14;C6TP14;C6TP14	C8VV69;E1JGP0;ACT3	85	41.835	22.1	7	129;491;638;1067;1210;2443;2688	9	152;761;983;1689;1690;1898;4226;4625;4626	8	136;887;1536;1748;4001;4368;4369;4370	7.48606191609675	7.3295446398745	7.3295446398745	6.20262916651502	4.78621759294168	4.78621759294168	1
Q9VLB7	Rab GDP dissociation inhibitor	GDI	Q9VLB7;Q24349	Q9VLB7	120	49.903	12.2	5	559;841;1042;2047;3065	5	860;1326;1644;3490;5278	5	778;1210;1496;3319;5012	7.48593426377175	7.3294169875495	7.3294169875495	0.88352970189535	-0.532881871677984	-0.532881871677984	0
A0A0B4LI13;P13678	Protein kinase C;Protein kinase C	PKC98E	A0A0B4LI13;P13678;Q4QQA3;Q95T78;Q4QQA3;Q95T78	A0A0B4LI13;KPC3	167	82.979	9.5	5	91;343;1392;2166;2743	6	95;523;2272;3703;4724;4725	6	85;472;2141;3499;4470;4471	7.48033757114728	7.32382029492503	7.32382029492503	2.22103158430365	0.804620010730314	0.804620010730314	0
A8JNN5	GTPase activating protein and centrosome-associated, isoform B	GAPCENA	A8JNN5	A8JNN5	456	133.394	0.7	1	1047	1	1653	1	1506	7.4754241948182	7.31890691859595	7.31890691859595	3.39698864329392	1.98057706972058	1.98057706972058	1
A2VEG5;A8DYJ6;A8DYJ7;B7YZM1;Q8MYS2	IP16849p;Sidestep VIII, isoform B;Sidestep VIII, isoform E;Sidestep VIII, isoform D;RH73613p	SIDE-VIII	A2VEG5;A8DYJ6;A8DYJ7;B7YZM1;Q8MYS2	A2VEG5;A8DYJ6;A8DYJ7;B7YZM1;Q8MYS2	190	39.377	12.6	4	2591;2684;2880;2954	4	4463;4620;4944;5066	4	4221;4362;4665;4779	7.47539512752136	7.31887785129912	7.31887785129912			7.78881441833494	1
O18407;Q9VMV5	Collagen type IV alpha 2;Viking, isoform A	VKG	O18407;Q9VMV5	O18407;Q9VMV5	299	175.955	2.3	3	931;1015;1017	3	1475;1603;1606	3	1350;1463;1466	7.47407050321504	7.31755322699279	7.31755322699279	2.66350763660664	1.24709606303331	1.24709606303331	1
C8VV50;Q9VU68;Q9VU68-2	RE63353p;Actin-interacting protein 1;Actin-interacting protein 1, Isoform B	CG10724-RB;FLR	C8VV50;Q9VU68;Q9VU68-2	C8VV50;WDR1;WDR1	62	66.111	19.4	10	411;673;802;1026;1186;1531;1870;2738;2984;3043	10	624;1047;1263;1622;1864;2543;3196;4717;5118;5241	10	565;943;1148;1477;1714;2393;3042;4464;4832;4970	7.47291726934568	7.31639999312343	7.31639999312343	1.82489998700184	0.408488413428509	0.408488413428509	0
A0A0B4LGM5;Q9VNC3	Holocarboxylase synthetase, isoform C;Holocarboxylase synthetase, isoform A	HCS	A0A0B4LGM5;Q9VNC3;A0A0B4KF92;A0A0B4LGS6;A0A0B4KF92;A0A0B4LGS6	A0A0B4LGM5;Q9VNC3	42	116.564	5.7	5	549;575;1390;2068;2923	5	847;883;2270;3522;5020	5	766;801;2139;3348;4734	7.46987361394382	7.31335633772157	7.31335633772157	-1.06753730794078	-2.48394888151411	-2.48394888151411	0
M9PDK5;Q9V3J1;Q9V3J1-2;Q9V3J1-3	V-type proton ATPase subunit H;V-type proton ATPase subunit H;V-type proton ATPase subunit H, Isoform B;V-type proton ATPase subunit H, Isoform D	VHASFD	M9PDK5;Q9V3J1;Q9V3J1-2;Q9V3J1-3	M9PDK5;VATH;VATH;VATH	121	53.734	14.7	6	264;1114;1683;2163;2257;3042	7	380;1762;2779;2781;3700;3872;5240	6	343;1623;2610;3496;3655;4969	7.46960113211383	7.31308385589158	7.31308385589158	1.65598158297984	0.239570009406511	0.239570009406511	0
M9MRT6;P08645	Rap1 GTPase, isoform B;Ras-related protein Rap1	RAP1	M9MRT6;P08645	M9MRT6;RAP1	392	20.863	6.5	1	2884	1	4950	1	4671	7.4551190646784	7.29860178845615	7.29860178845615	3.08869267623567	1.67228110266234	1.67228110266234	1
B5RJH2;D3PK82;Q9VZ40;X2JES6	FI09903p (Fragment);RH59554p;Uncharacterized protein CG1552;Uncharacterized protein, isoform C	ANON-EST:POSEY230;CG1552;CG1552-RA	B5RJH2;D3PK82;Q9VZ40;X2JES6	B5RJH2;D3PK82;Y1552;X2JES6	646	22.095	3.7	1	2311	1	3954	1	3730	7.45094157907235	7.2944243028501	7.2944243028501	#NUM!	#NUM!	7.35256111498743	1
A4V4F2;F2FB46;M9PHL7;M9PHT0;M9PJN2;O61492;O61492-2;O61492-3	Flotillin 2, isoform F;Flotillin 2, isoform K;Flotillin 2, isoform J;Flotillin 2, isoform I;Flotillin 2, isoform L;Flotillin-2;Flotillin-2, Isoform B;Flotillin-2, Isoform C	FLO2	A4V4F2;F2FB46;M9PHL7;M9PHT0;M9PJN2;O61492;O61492-2;O61492-3;C9QP31;E1JJL2;O61492-4;C9QP31;E1JJL2;O61492-4;C9QP31;E1JJL2;O61492-4;C9QP31;E1JJL2;O61492-4;C9QP31;E1JJL2;O61492-4;C9QP31;E1JJL2;O61492-4;C9QP31;E1JJL2;O61492-4;C9QP31;E1JJL2;O61492-4	A4V4F2;F2FB46;M9PHL7;M9PHT0;M9PJN2;FLOT2;FLOT2;FLOT2	69	46.602	17.9	7	108;153;215;1122;1651;1688;2132	7	122;203;298;1776;2735;2787;3634	7	111;191;274;1636;2569;2615;3444	7.4467235195682	7.29020624334595	7.29020624334595	2.24685813910295	0.830446565529614	0.830446565529614	0
H0RNN1;Q9TVP3;Q9TVP3-2	FI17328p1;J domain-containing protein;J domain-containing protein, Isoform A	JDP;JDP-RB	H0RNN1;Q9TVP3;Q9TVP3-2;D3DMZ5;Q9TVP3-3;D3DMZ5;Q9TVP3-3;D3DMZ5;Q9TVP3-3	H0RNN1;JDP;JDP	385	20.062	5.5	1	2832	1	4877	1	4611	7.44505904739222	7.28854177116997	7.28854177116997	0.848328301091636	-0.568083272481698	-0.568083272481698	0
D2NUH9;H1ZYF1;P29327	40S ribosomal protein S6 (Fragment);40S ribosomal protein S6;40S ribosomal protein S6	RPS6;RPS6-RB	D2NUH9;H1ZYF1;P29327;A8E700;Q95TP9;P29327-2;A8E700;Q95TP9;P29327-2;A8E700;Q95TP9;P29327-2	D2NUH9;H1ZYF1;RS6	198	31.417	13.8	4	409;569;1487;1559	4	621;874;2449;2583	4	562;791;2297;2432	7.4412708434205	7.28475356719825	7.28475356719825	1.62490235183394	0.208490778260604	0.208490778260604	0
Q9VDC3	AP complex subunit sigma	AP-2SIGMA	Q9VDC3;Q9GQM7	Q9VDC3	327	16.964	19	2	1543;3008	2	2561;5153	1	2410	7.44106640663926	7.28454913041701	7.28454913041701	0.734747504143499	-0.681664069429835	-0.681664069429835	0
Q9VVW3	Sideroflexin-2	SFXN2	Q9VVW3	SFXN2	256	36.496	9.5	3	2062;2496;2658	3	3512;4309;4572	3	3339;4076;4322	7.43889027781684	7.28237300159459	7.28237300159459	3.83613780792249	2.41972623434916	2.41972623434916	1
A0A0B4LGS4;P54611	Vacuolar H[+]-ATPase 26kD subunit, isoform C;V-type proton ATPase subunit E	VHA26	A0A0B4LGS4;P54611	A0A0B4LGS4;VATE	663	26.082	6.2	1	240	1	341	1	312	7.43519115968518	7.27867388346293	7.27867388346293	3.75453268487264	2.33812111129931	2.33812111129931	1
Q8SY98;Q9VJY6;X2JE06	RH14088p;60S ribosomal protein L24;GEO07624p1	RPL24	Q8SY98;Q9VJY6;X2JE06	Q8SY98;RL24;X2JE06	545	14.223	10.6	1	159	1	212	1	198	7.43517521554428	7.27865793932203	7.27865793932203	#NUM!	#NUM!	7.40948980590947	1
F2FB52;M9PBZ1;M9PEV8;M9PHV2;P25123;P25123-1;P25123-3;V9ZAE2;V9ZAR3	RE22322p;Resistant to dieldrin, isoform G;Resistant to dieldrin, isoform E;Resistant to dieldrin, isoform F;Gamma-aminobutyric acid receptor subunit beta;Gamma-aminobutyric acid receptor subunit beta, Isoform C;Gamma-aminobutyric acid receptor subunit beta, Isoform D;GABA-gated chloride channel rdl-A302;GABA-gated chloride channel rdl-S302	;RDL;RDL-RA	F2FB52;M9PBZ1;M9PEV8;M9PHV2;P25123;P25123-1;P25123-3;V9ZAE2;V9ZAR3;A8WDP1;A8WDP1;A8WDP1;A8WDP1;A8WDP1;A8WDP1;A8WDP1;A8WDP1;A8WDP1	F2FB52;M9PBZ1;M9PEV8;M9PHV2;GBRB;GBRB;GBRB;V9ZAE2;V9ZAR3	329	65.583	1.8	1	1579	1	2616	1	2462	7.43412160591869	7.27760432969644	7.27760432969644	2.05992941159149	0.643517838018155	0.643517838018155	0
A0A0B4K716;A0A0B4KHZ4;A8JR94;Q7KS34;Q7KS35;Q9VCF2	Diacylglycerol kinase;Diacylglycerol kinase;Diacylglycerol kinase;Diacylglycerol kinase;Diacylglycerol kinase;Diacylglycerol kinase	CG31140-RC;CG5875;DMEL\CG31140	A0A0B4K716;A0A0B4KHZ4;A8JR94;Q7KS34;Q7KS35;Q9VCF2;Q058V2;Q86PB4;Q058V2;Q86PB4;Q058V2;Q86PB4;Q058V2;Q86PB4;Q058V2;Q86PB4;Q058V2;Q86PB4	A0A0B4K716;A0A0B4KHZ4;A8JR94;Q7KS34;Q7KS35;Q9VCF2	217	164.81	3.5	4	813;2316;2493;2668	4	1282;3960;4305;4587	4	1165;3736;4073;4335	7.43314553700034	7.27662826077809	7.27662826077809	2.35882718900335	0.942415615430018	0.942415615430018	0
