,Domains
FBgn0041180,TED_complement/A2M/A2M_recep/A2M_BRD/MG3/MG2
FBgn0032809,Cytochrom_B561
FBgn0032810,Cytochrom_B561
FBgn0000464,Y_phosphatase/fn3/I-set/Ig_3/Pur_ac_phosph_N/Ig_2/ig/Interfer-bind/DSPc/C2-set_2/V-set/Ig_5/PTPlike_phytase/Y_phosphatase3/fn3_2/Ig_C17orf99
FBgn0005590,TGFb_propeptide/TGF_beta
FBgn0032805,Cytochrom_B561
FBgn0032797,Sushi/WAP
FBgn0053117,Turandot
FBgn0044811,Turandot
FBgn0032827,EXS/SPX
FBgn0032843,DUF229
FBgn0003475,KIND
FBgn0015803,RhoGEF/SH3_9/SH3_1/SH3_2/RhoGEF67_u2/PH
FBgn0032853,CAP
FBgn0032871,TMEM_230_134
FBgn0032880,EMP70
FBgn0032879,Sugar_tr/MFS_1
FBgn0032889,2-Hacid_dh/2-Hacid_dh_C/F420_oxidored
FBgn0051676,QVR
FBgn0032897,QVR
FBgn0032899,QVR
FBgn0051675,QVR
FBgn0032900,QVR
FBgn0032908,ABC_membrane/ABC_tran/AAA_23/MMR_HSR1/AAA_21/AAA_29/AAA_16/RsgA_GTPase/Dynamin_N/AAA_22
FBgn0028986,Serpin
FBgn0067312,DUF1091
FBgn0010395,Integrin_beta/EGF_2/PSI_integrin/Integrin_b_cyt/I-EGF_1
FBgn0032916,Malectin
FBgn0040297,Na_H_Exchanger
FBgn0026255,Lig_chan/Lig_chan-Glu_bd/ANF_receptor/SBP_bac_3
FBgn0051626,YLP
FBgn0051988,LIM
FBgn0051624,LIM
FBgn0011829,PK_Tyr_Ser-Thr/Pkinase
FBgn0023388,SH3_9/SH3_1/SH3_2/EF-hand_4/EF-hand_1/EF-hand_6/EF-hand_7
FBgn0032943,Tetraspanin
FBgn0032946,Na_K-ATPase
FBgn0037501,Lig_chan/Lig_chan-Glu_bd
FBgn0051146,COesterase/Abhydrolase_3/BD-FAE
FBgn0002306,fn3/TILa/VWC
FBgn0037487,CBM_14
FBgn0037488,CBM_14
FBgn0028400,C2
FBgn0004175,MSSP
FBgn0001112,GMC_oxred_N/GMC_oxred_C/Pyr_redox_2/DAO/FAD_binding_2
FBgn0011282,PBP_GOBP
FBgn0037486,Sugar_tr/MFS_1
FBgn0037485,Sugar_tr/MFS_1
FBgn0000071,I-set/Ig_3/Ig_2/ig/V-set/C2-set_2/C1-set
FBgn0037465,Arrestin_N/Arrestin_C/Rgp1/LDB19
FBgn0051482,CAP
FBgn0051286,CAP
FBgn0004777,Chitin_bind_4
FBgn0004780,Chitin_bind_4
FBgn0004783,Chitin_bind_4
FBgn0004782,Chitin_bind_4
FBgn0004781,Chitin_bind_4
FBgn0004779,Chitin_bind_4
FBgn0004778,Chitin_bind_4
FBgn0053202,Ig_3/ig/I-set/V-set/Ig_2/V-set_CD47
FBgn0037429,DUF1676
FBgn0037430,DUF1676
FBgn0037431,PBP
FBgn0037433,PBP
FBgn0037443,Tmemb_cc2
FBgn0037515,Trypsin/CLIP/Trypsin_2
FBgn0037518,Arrestin_N/Arrestin_C
FBgn0037519,Arrestin_N/Arrestin_C
FBgn0042101,Arrestin_N/Arrestin_C
FBgn0042103,Arrestin_N/Arrestin_C
FBgn0042105,Arrestin_N/Arrestin_C/Rgp1
FBgn0042102,Arrestin_N/Arrestin_C
FBgn0042104,Arrestin_N/Arrestin_C
FBgn0037546,7tm_1/7TM_GPCR_Srsx/7tm_4/7TM_GPCR_Srx
FBgn0037552,LRR_8/LRR_4/LRR_1/LRR_9/LRR_5
FBgn0037553,LRR_8/LRR_4/LRR_1/LRR_5
FBgn0040528,P4Ha_N/2OG-FeII_Oxy_3/2OG-FeII_Oxy
FBgn0037534,ELO
FBgn0037533,SLC3A2_N/Alpha-amylase
FBgn0051464,DUF5082
FBgn0037572,DUF745/ThiD2
FBgn0037576,7tm_6
FBgn0020249,LIM
FBgn0037571,DUF745
FBgn0037570,DUF745
FBgn0037594,7tm_6
FBgn0026399,7tm_6
FBgn0037591,7tm_6/7tm_7
FBgn0037590,7tm_6/7tm_7
FBgn0037630,Lig_chan
FBgn0037627,Trypsin/CLIP_1
FBgn0037650,CAP
FBgn0037671,Renin_r
FBgn0002932,Neuralized/zf-C3HC4_3/zf-RING_2/Prok-RING_4/zf-C3HC4
FBgn0037655,zf-Di19/ZZ
FBgn0051100,Sugar_tr/MFS_1
FBgn0037680,DUF4728
FBgn0037685,7tm_6
FBgn0037690,Ion_trans_2/Ion_trans
FBgn0037678,Trypsin/Trypsin_2
FBgn0037677,Trypsin
FBgn0037702,muHD/FCH
FBgn0012344,CRF
FBgn0037727,Peptidase_M13/Peptidase_M13_N
FBgn0037730,PTR2
FBgn0037724,Cornifin
FBgn0037721,GILT
FBgn0003205,Ras/Roc/GTP_EFTU/Arf/MnmE_helical/MMR_HSR1/RsgA_GTPase
FBgn0014380,Ras/Roc/Arf/GTP_EFTU
FBgn0037753,Mucin
FBgn0037754,Ras/Roc/Arf/MnmE_helical/GTP_EFTU/RsgA_GTPase/MeaB/MMR_HSR1
FBgn0037756,Alpha-2-MRAP_C/Alpha-2-MRAP_N
FBgn0037766,TipE
FBgn0037736,Ig_3/I-set/Ig_2/ig/C2-set_2/V-set/fn3
FBgn0037772,Serpin
FBgn0051410,E1_DerP2_DerF2
FBgn0037783,E1_DerP2_DerF2
FBgn0037788,Carb_anhydrase
FBgn0037796,Zona_pellucida
FBgn0040238,Bestrophin
FBgn0001321,DM13/DOMON
FBgn0037782,E1_DerP2_DerF2
FBgn0037779,DUF4789
FBgn0053208,bMERB_dom/CH/Pyr_redox_2/LIM/Pyr_redox_3/HI0933_like/DAO/FAD_binding_3/FAD_binding_2
FBgn0037807,Xan_ur_permease
FBgn0037798,EF-hand_7/EF-hand_1/EF-hand_6/EF-hand_8
FBgn0025879,TIMP/NTR
FBgn0045443,Methuselah_N
FBgn0037832,DM4_12
FBgn0037848,Tetraspanin
FBgn0037849,TMEM169
FBgn0037846,Folate_carrier/MFS_1
FBgn0037845,Folate_carrier/MFS_1
FBgn0051272,MFS_1/Sugar_tr
FBgn0037829,MFS_1/Sugar_tr
FBgn0004841,7tm_1/7TM_GPCR_Srsx/7tm_4/7TM_GPCR_Srx
FBgn0037853,Arrestin_N/Arrestin_C
FBgn0027584,COesterase/BD-FAE/Abhydrolase_3
FBgn0020910,Ribosomal_L3
FBgn0037879,CAP
FBgn0037889,CAP
FBgn0037888,CAP
FBgn0037908,Ig_3/I-set/ig/V-set/Ig_2/Ig_C17orf99/Izumo-Ig
FBgn0037906,Amidase_2
FBgn0037895,SSF
FBgn0037930,FKBP_C
FBgn0037940,DM4_12
FBgn0037941,TSP_1/TSP1_spondin
FBgn0037950,Neur_chan_LBD/Neur_chan_memb
FBgn0037972,Zona_pellucida
FBgn0037963,Cadherin/Cadherin_2/Cadherin_3/Cadherin_pro
FBgn0037956,LRR_8/LRR_4/LRR_1
FBgn0051116,Voltage_CLC/CBS
FBgn0051361,Ig_3/ig/I-set/V-set/Ig_2
FBgn0037993,ig/Ig_3/I-set/V-set/Ig_2
FBgn0037992,DM4_12
FBgn0037989,PhoLip_ATPase_C/PhoLip_ATPase_N/Cation_ATPase/Hydrolase/E1-E2_ATPase/Hydrolase_3
FBgn0051358,Band_7
FBgn0038003,Trypsin/Trypsin_2
FBgn0038017,Lectin_C
FBgn0038042,Sarcoglycan_1
FBgn0038014,Trypsin/Trypsin_2
FBgn0038001,Trypsin
FBgn0038053,UNC-93/MFS_1
FBgn0042207,Abhydro_lipase/Abhydrolase_1/Hydrolase_4
FBgn0038067,Abhydro_lipase/Abhydrolase_1/Hydrolase_4/LIDHydrolase
FBgn0038068,Abhydro_lipase/Abhydrolase_1/Hydrolase_4
FBgn0038069,Abhydro_lipase/Abhydrolase_1/Hydrolase_4
FBgn0038072,Creatinase_N_2/Peptidase_M24/Peptidase_M24_C/Creatinase_N
FBgn0038079,Ninjurin
FBgn0016693,DUF5600/Dynamin_N/EF-hand_4/EHD_N/MMR_HSR1/EF-hand_1
FBgn0038084,Ig_2/Ig_3/C2-set_2/V-set
FBgn0001296,MFS_1
FBgn0038070,Abhydro_lipase/Abhydrolase_1/Hydrolase_4
FBgn0005671,ATP-synt_ab/ATP-synt_ab_N
FBgn0038092,Ig_2/Ig_3/ig/V-set
FBgn0038099,MFS_1
FBgn0051342,PDZ_6
FBgn0038113,Trypsin/Trypsin_2
FBgn0038114,Trypsin
FBgn0003450,Trypsin
FBgn0038105,MRJP
FBgn0041710,MRJP
FBgn0038098,EB
FBgn0038135,ERAP1_C/Peptidase_M1/Peptidase_M1_N
FBgn0038136,Peptidase_M1/ERAP1_C/Peptidase_M1_N
FBgn0052473,ERAP1_C/Peptidase_M1/Peptidase_M1_N
FBgn0038140,7tm_1/7TM_GPCR_Srw/7tm_4/7TM_GPCR_Srsx
FBgn0045442,Methuselah_N
FBgn0038142,DUF1091
FBgn0038144,Trypsin
FBgn0041711,MRJP
FBgn0038151,MRJP
FBgn0038150,MRJP
FBgn0038149,GILT
FBgn0023495,Abhydrolase_1/Abhydro_lipase/Hydrolase_4
FBgn0038134,wnt
FBgn0000024,COesterase/BD-FAE/Abhydrolase_3
FBgn0038126,CAP
FBgn0038153,SBP_bac_3
FBgn0051337,CLIP
FBgn0038167,Pkinase/PK_Tyr_Ser-Thr/Kinase-like/ABC1
FBgn0038173,A_deaminase_N/A_deaminase/AMP_deaminase
FBgn0038180,Glyco_hydro_18/CBM_14
FBgn0038181,EHD_N/Dynamin_N/MMR_HSR1
FBgn0038172,A_deaminase_N/A_deaminase
FBgn0038165,Ion_trans_2/Ion_trans
FBgn0003060,GRP
FBgn0038160,GRP
FBgn0038186,EF-hand_7/EF-hand_1/EF-hand_6/EF-hand_8
FBgn0038198,E1_DerP2_DerF2
FBgn0038203,7tm_6
FBgn0038206,Cofilin_ADF
FBgn0038214,GD_N
FBgn0027563,Trypsin/GD_N
FBgn0053329,Trypsin/GD_N
FBgn0051326,Trypsin/GD_N/DUF1986
FBgn0038211,Trypsin/GD_N/DUF316
FBgn0011582,7tm_1/7tm_4/7TM_GPCR_Srsx
FBgn0020510,Abi_HHR/SH3_9/SH3_1/SH3_2
FBgn0038219,DUF745
FBgn0051321,MFS_1
FBgn0013767,Corazonin
FBgn0038218,DUF745
FBgn0038217,DUF745
FBgn0038242,Herpes_BLLF1
FBgn0038247,Cadherin/Cadherin_2/Cadherin_3
FBgn0038250,Trypsin/CLIP/DUF316/Trypsin_2
FBgn0003169,Pkinase/PK_Tyr_Ser-Thr/Activin_recp/APH
FBgn0004629,Cystatin
FBgn0051313,Cystatin
FBgn0038237,PDEase_I/GAF/GAF_2/GAF_3
FBgn0038260,Sugar_tr/MFS_1
FBgn0038261,Sugar_tr/MFS_1
FBgn0038262,MFS_1/Sugar_tr
FBgn0038279,Recep_L_domain/fn3/Furin-like/Pur_ac_phosph_N
FBgn0028662,ATP-synt_C
FBgn0038285,Astacin
FBgn0038312,Zip
FBgn0038315,Lectin_C
FBgn0000533,Trypsin/CLIP
FBgn0038331,DUF1241
FBgn0038337,Sulfate_transp/MFS_MOT1/STAS_2
FBgn0038309,Ammonium_transp
FBgn0038299,Serpin
FBgn0028984,Serpin
FBgn0019940,7tm_1/7TM_GPCR_Srsx/UPF0542
FBgn0051296,CAP
FBgn0051446,Lipocalin_2
FBgn0038354,Sulfate_transp
FBgn0038365,Fibrinogen_C
FBgn0038366,Acyl_transf_3
FBgn0051183,Guanylate_cyc/ANF_receptor/PK_Tyr_Ser-Thr/Pkinase/HNOBA
FBgn0038376,MTABC_N/ABC_membrane/ABC_tran/AAA_16
FBgn0038385,LRR_6/LRR_4/F-box-like/F-box
FBgn0038394,JHBP
FBgn0038398,Lipase
FBgn0038395,JHBP
FBgn0027657,Globin
FBgn0038380,ANF_receptor
FBgn0003319,Trypsin
FBgn0063649,Sugar_tr/MFS_1
FBgn0038404,Sugar_tr/MFS_1
FBgn0038412,Zip/Virul_fac_BrkB
FBgn0038414,Sugar_tr/MFS_1
FBgn0038415,Sugar_tr/MFS_1
FBgn0038416,Sugar_tr
FBgn0040271,Sulfatase/DUF3740/Phosphodiest
FBgn0038407,Sugar_tr/MFS_1
FBgn0027095,ARMET_N/ARMET_C
FBgn0038431,Trypsin/Trypsin_2
FBgn0038439,Cadherin/Cadherin_2
FBgn0038422,CBM_14
FBgn0038420,DUF4728
FBgn0038447,Trypsin
FBgn0015230,Sugar_tr/MFS_1
FBgn0051217,Ldl_recept_a/Trypsin/Sushi
FBgn0027562,CD36
FBgn0038465,An_peroxidase
FBgn0038466,SAM_3/PTB/SH3_1/SH3_2/SH3_3/hSH3
FBgn0038468,Collagen
FBgn0051268,Collagen
FBgn0051269,Trypsin/Trypsin_2
FBgn0051265,Trypsin/Trypsin_2
FBgn0051267,Trypsin/Trypsin_2
FBgn0038484,Trypsin/Trypsin_2/DUF1986
FBgn0038485,Trypsin/DUF1986/Trypsin_2
FBgn0038494,Ig_2/Ig_3
FBgn0051262,SSF
FBgn0038492,CBM_14
FBgn0038487,DUF243
FBgn0038482,Trypsin/Trypsin_2/DUF1986
FBgn0038481,Trypsin/Trypsin_2
FBgn0038479,Trypsin/Trypsin_2
FBgn0038469,An_peroxidase
FBgn0038505,Asp/TAXi_N/TAXi_C
FBgn0038506,Asp/TAXi_N
FBgn0038507,Asp/TAXi_N
FBgn0038511,An_peroxidase
FBgn0000564,Eclosion
FBgn0038504,LRR_8/LRR_4/LRR_1/LRR_9/LRR_5
FBgn0038498,Ig_2
FBgn0038530,Attacin_C/Attacin_N
FBgn0038533,TMEM192
FBgn0016650,7tm_1/LRR_8/LRR_5
FBgn0038540,DUF4787
FBgn0038541,7tm_1/7TM_GPCR_Srsx/7tm_4
FBgn0038545,DUF4728
FBgn0038542,7tm_1/7TM_GPCR_Srsx/7tm_4/7TM_GPCR_Srv
FBgn0000477,DNase_II
FBgn0010389,PK_Tyr_Ser-Thr/Pkinase/I-set/Ig_3/Ig_2/ig/V-set
FBgn0020238,14-3-3
FBgn0038606,PDZ/PDZ_6/PDZ_2/Peptidase_M50
FBgn0038595,Trypsin/DUF1986
FBgn0038569,DUF747
FBgn0038629,CBM_14
FBgn0038621,Ion_trans_2/Ion_trans/CrgA
FBgn0028670,V_ATPase_I
FBgn0038613,V_ATPase_I
FBgn0038638,LRR_8/LRR_4/LRR_1/LRR_6
FBgn0038641,SSF
FBgn0038653,7tm_1/7TM_GPCR_Srsx/7tm_4
FBgn0038652,SSF
FBgn0038642,Mucin-like
FBgn0038632,CBM_14
FBgn0038654,Kunitz_BPTI
FBgn0003248,7tm_1/7TM_GPCR_Srsx
FBgn0004876,PK_Tyr_Ser-Thr/Pkinase/Kdo/Pkinase_fungal
FBgn0038660,Sulfatase/DUF4976/Phosphodiest
FBgn0038695,CUB
FBgn0000463,MNNL/EGF/hEGF/DSL/EGF_2/EGF_CA
FBgn0038691,Na_K-ATPase
FBgn0038690,Na_K-ATPase
FBgn0038700,Peptidase_S28/Abhydrolase_1/Hydrolase_4
FBgn0038701,Peptidase_S28
FBgn0038702,Peptidase_S28
FBgn0038705,Peptidase_S28
FBgn0038715,Sugar_tr/MFS_1
FBgn0038716,Sugar_tr/MFS_1
FBgn0038718,MFS_1/Sugar_tr
FBgn0038719,Sugar_tr/MFS_1
FBgn0051220,Trypsin
FBgn0051219,Trypsin
FBgn0003011,Neur_chan_LBD/Neur_chan_memb
FBgn0038727,Trypsin/DUF1986/CLIP
FBgn0038725,FG-GAP_3/PQQ/FG-GAP
FBgn0038721,Anoctamin/Anoct_dimer
FBgn0038720,Sugar_tr/MFS_1
FBgn0051213,ABC_tran/ABC2_membrane_3/AAA_21/RsgA_GTPase/AAA_29/Zeta_toxin
FBgn0038753,MFS_1
FBgn0038752,MFS_1
FBgn0038750,MFS_1
FBgn0002940,7tm_1/7TM_GPCR_Srsx
FBgn0038740,ABC_membrane/ABC_tran/AAA_29/MMR_HSR1/AAA_16/AAA_21/RsgA_GTPase/AAA_22/AAA_23/Dynamin_N/DUF815/MnmE_helical
FBgn0038738,Peptidase_S10
FBgn0045471,7tm_7
FBgn0003249,7tm_1/7TM_GPCR_Srsx
FBgn0038798,7tm_6/7tm_7
FBgn0038799,MFS_1/BT1
FBgn0038784,LPMO_10
FBgn0038783,LPMO_10
FBgn0038819,Chitin_bind_4/Nebulin
FBgn0051205,Trypsin/Trypsin_2/DUF1986
FBgn0051200,Trypsin
FBgn0051199,Trypsin
FBgn0024944,7tm_1/7TM_GPCR_Srsx/7tm_4/7TM_GPCR_Srx
FBgn0038818,Peptidase_M13_N/Peptidase_M13
FBgn0028422,Lig_chan/Lig_chan-Glu_bd/ANF_receptor/SBP_bac_3/Peripla_BP_6
FBgn0051201,Lig_chan/ANF_receptor/Lig_chan-Glu_bd/SBP_bac_3
FBgn0015279,PI3_PI4_kinase/PI3Ka/PI3K_rbd/PI3K_C2/PI3K_p85B
FBgn0038814,Meckelin
FBgn0038809,PKAT_KLD
FBgn0053094,FCH/SH3_1/SH3_9/SH3_2
FBgn0028396,Turandot
FBgn0044812,Turandot
FBgn0038838,Turandot
FBgn0044809,Turandot
FBgn0038840,Lig_chan/ANF_receptor/Lig_chan-Glu_bd/SBP_bac_3/Peripla_BP_6
FBgn0044810,Turandot
FBgn0038837,Lig_chan/ANF_receptor/Lig_chan-Glu_bd/SBP_bac_3/Peripla_BP_6
FBgn0038829,EF-hand_7/EF-hand_6/EF-hand_1
FBgn0051195,EGF_CA/hEGF
FBgn0013995,Calx-beta/Na_Ca_ex/Na_Ca_ex_C
FBgn0038846,SLC3A2_N
FBgn0038847,DUF4779
FBgn0015790,Ras/Roc/Arf/MMR_HSR1/GTP_EFTU/RsgA_GTPase/AAA_22/MnmE_helical
FBgn0038866,LRR_8/LRR_5/LRR_4/LRR_1
FBgn0038865,LRR_8/LRR_4/LRR_1/LRR_5/LRR_9
FBgn0025865,HS1_rep/SH3_9/SH3_1/SH3_2
FBgn0038850,JHBP
FBgn0038849,JHBP
FBgn0051207,JHBP
FBgn0051189,JHBP
FBgn0046763,Kazal_2
FBgn0038845,Alk_phosphatase
FBgn0038873,NRF/Acyl_transf_3
FBgn0038874,7tm_1/7TM_GPCR_Srx/7tm_4/7TM_GPCR_Srsx/7TM_GPCR_Srw
FBgn0038890,Syja_N/hSac2
FBgn0038894,JHBP
FBgn0038897,Peptidase_M1/Peptidase_M1_N/ERAP1_C
FBgn0051343,Peptidase_M1/ERAP1_C/Peptidase_M1_N
FBgn0051233,Peptidase_M1/ERAP1_C/Peptidase_M1_N
FBgn0051198,ERAP1_C/Peptidase_M1/Peptidase_M1_N
FBgn0038901,DAN
FBgn0041229,7tm_7
FBgn0051431,Ig_3/I-set/ig/Ig_2/V-set
FBgn0038918,Evr1_Alr/Thioredoxin/FAD_SOX/Thioredoxin_2
FBgn0038919,Evr1_Alr/FAD_SOX/Thioredoxin/Thioredoxin_2
FBgn0045468,7tm_7
FBgn0013759,Pkinase/Guanylate_kin/PK_Tyr_Ser-Thr/L27/PDZ/SH3_1/SH3_2/PDZ_6/SH3_9
FBgn0027575,7tm_3/ANF_receptor/Peripla_BP_6
FBgn0040582,DIM
FBgn0038938,MFS_1/Sugar_tr
FBgn0038952,PK/PK_C
FBgn0038959,DUF4786
FBgn0038965,Mob1_phocein
FBgn0038958,DUF4786
FBgn0038956,Carb_anhydrase
FBgn0038972,PBP
FBgn0038973,PBP
FBgn0038975,Laminin_G_2/Laminin_G_1/Laminin_G_3/EGF/hEGF
FBgn0020278,RGS/RBD/PDZ/PDZ_6
FBgn0038984,HlyIII
FBgn0039024,Peptidase_M13_N/Peptidase_M13
FBgn0039023,Peptidase_M13_N/Peptidase_M13
FBgn0039022,Peptidase_M13_N/Peptidase_M13
FBgn0051139,Glyco_transf_90/Glyco_trans_1_2
FBgn0039007,CCAP
FBgn0017590,Ig_3/I-set/ig/Ig_2/V-set/Izumo-Ig/fn3/Ig_4
FBgn0039033,7tm_6
FBgn0039034,7tm_6
FBgn0039042,CBM_14
FBgn0041225,7tm_7
FBgn0039054,SPARC_Ca_bdg/Thyroglobulin_1/Kazal_2/EF-hand_1
FBgn0039048,PAN_1
FBgn0053193,WW
FBgn0039056,BAR_3/ArfGap/PH/Ank_2/Ank_4/Ank/Ank_5/Ank_3
FBgn0039069,Astacin
FBgn0039064,ERAP1_C/Peptidase_M1_N/Peptidase_M1
FBgn0039059,VMA21
FBgn0039080,Lig_chan
FBgn0039084,COesterase/BD-FAE/Abhydrolase_3/Peptidase_S9
FBgn0039081,IRK_C/IRK
FBgn0039077,Kunitz_BPTI
FBgn0051515,Kunitz_BPTI
FBgn0039073,Peptidase_M14/Propep_M14
FBgn0039089,Ig_3/Ig_2/V-set/C2-set_2
FBgn0039098,GILT
FBgn0039099,GILT
FBgn0039101,Trypsin/CLIP
FBgn0042106,Trypsin/CLIP
FBgn0039102,Trypsin/CLIP
FBgn0051148,Glyco_hydro_30/Glyco_hydro_30C
FBgn0051413,Evr1_Alr/Thioredoxin/FAD_SOX/QSOX_Trx1
FBgn0051414,Glyco_hydro_30/Glyco_hydro_30C
FBgn0039108,Trypsin/Trypsin_2/DUF1986
FBgn0043005,MFS_1/Sugar_tr
FBgn0051145,Fam20C/FAM198
FBgn0039093,NRF/Acyl_transf_3
FBgn0039092,Acyl_transf_3/NRF
FBgn0053337,NRF/Acyl_transf_3
FBgn0039091,Acyl_transf_3/NRF
FBgn0015795,Ras/Roc/Arf/MMR_HSR1/MnmE_helical/GTP_EFTU/Gtr1_RagA/RsgA_GTPase
FBgn0039154,E1_DerP2_DerF2
FBgn0039155,fn3/WAP/Pur_ac_phosph_N
FBgn0039160,Lectin_leg-like/Bact_lectin
FBgn0013343,Syntaxin/SNARE/Syntaxin_2
FBgn0019952,Sugar_tr/MFS_1
FBgn0039178,Sugar_tr/MFS_1
FBgn0011581,ELH
FBgn0039187,C2/YbjQ_1
FBgn0053339,DM4_12
FBgn0039193,DM4_12
FBgn0053341,DM4_12
FBgn0039194,DM4_12
FBgn0039199,DM4_12
FBgn0039200,DM4_12
FBgn0000036,Neur_chan_LBD/Neur_chan_memb
FBgn0039198,DM4_12
FBgn0039197,DM4_12
FBgn0039196,DM4_12
FBgn0039195,DM4_12
FBgn0039192,DM4_12
FBgn0039180,Astacin
FBgn0000039,Neur_chan_LBD/Neur_chan_memb
FBgn0039203,JHBP
FBgn0046685,PK_Tyr_Ser-Thr/Pkinase/WSC/fn3
FBgn0004118,Neur_chan_LBD/Neur_chan_memb
FBgn0004885,CUB/Astacin/FXa_inhibition/EGF_CA/CUB_2/cEGF/EGF/EGF_3
FBgn0003719,CUB/Astacin/FXa_inhibition/cEGF/EGF_CA/EGF/EGF_3
FBgn0013953,Sulfate_transp/STAS
FBgn0039234,Nicastrin/Ncstrn_small/Peptidase_M28
FBgn0039244,ABC_tran/ABC2_membrane
FBgn0040601,CBM_14
FBgn0051121,ABC2_membrane/ABC_tran/ABC2_membrane_7
FBgn0051105,ASC
FBgn0027539,LMBR1
FBgn0015591,Allatostatin
FBgn0039257,VWC
FBgn0039272,Trypsin/DUF1986/Trypsin_2
FBgn0039282,FERM_M
FBgn0039277,Peptidase_M13_N/Peptidase_M13
FBgn0039269,PDZ/L27/PDZ_6
FBgn0020626,Oxysterol_BP/PH/PH_8/PH_11
FBgn0039290,DUF3522
FBgn0051106,MFS_1/Sugar_tr
FBgn0051103,MFS_1/Sugar_tr
FBgn0039297,JHBP
FBgn0039298,JHBP
FBgn0039299,JHBP
FBgn0039294,Cadherin
FBgn0022800,PK_Tyr_Ser-Thr/Pkinase/Cadherin
FBgn0039344,Lipase/Abhydrolase_6
FBgn0039354,LRR_8/7tm_1/LRR_5/LRR_4/Ldl_recept_a/LRR_9
FBgn0039376,DUF745
FBgn0027865,Tetraspanin
FBgn0066101,Ldl_recept_a/Ldl_recept_b/FXa_inhibition/cEGF/EGF_CA/SGL/EGF
FBgn0051092,Ldl_recept_a/Ldl_recept_b/FXa_inhibition/cEGF/EGF_CA
FBgn0028717,Phe_ZIP/SH2/PH
FBgn0039386,Sod_Cu
FBgn0039387,Cu-oxidase_3/Cu-oxidase_2/Cu-oxidase
FBgn0051091,Abhydro_lipase/Abhydrolase_1
FBgn0051089,Abhydro_lipase/Abhydrolase_1/Hydrolase_4
FBgn0000206,7tm_3
FBgn0002578,Kazal_1/Kazal_2
FBgn0039415,GMC_oxred_N/GMC_oxred_C/FAD_binding_2/Lycopene_cycl/Pyr_redox_3/NAD_binding_8
FBgn0039419,7tm_1
FBgn0039429,Tmem26
FBgn0039431,Ig_3/I-set/Ig_2/ig/V-set/Ig_5/fn3/C2-set_2/Ig_4
FBgn0023178,Pigment_DH
FBgn0039424,ASC
FBgn0039434,DUF243
FBgn0039440,DUF243
FBgn0039441,DUF243
FBgn0051080,DUF243
FBgn0051081,DUF243
FBgn0039443,DUF243
FBgn0039444,DUF243
FBgn0040607,CBM_14
FBgn0039453,CBM_14
FBgn0023179,Peptidase_S8/P_proprotein/S8_pro-domain
FBgn0039448,DUF243
FBgn0039439,DUF243
FBgn0039438,DUF243
FBgn0039437,DUF243
FBgn0039436,DUF243
FBgn0039435,DUF243
FBgn0039469,DUF243
FBgn0051077,CBM_14
FBgn0039471,Lipase
FBgn0039470,Lipase
FBgn0041224,7tm_7
FBgn0039465,Tetraspanin
FBgn0026562,SPARC_Ca_bdg
FBgn0004842,7tm_1/7TM_GPCR_Srsx/7tm_4
FBgn0029170,DUF243
FBgn0039482,JHBP
FBgn0039483,JHBP
FBgn0039485,JHBP
FBgn0039494,Trypsin/DUF316/CLIP
FBgn0039495,Trypsin/CLIP/Trypsin_2/DUF316
FBgn0051065,ASC
FBgn0051068,LYRIC
FBgn0004197,EGF/hEGF/MNNL/DSL/EGF_2/EGF_CA
FBgn0039487,AA_permease_2/AA_permease
FBgn0039486,Carb_anhydrase
FBgn0039481,Chitin_bind_4
FBgn0039480,Chitin_bind_4
FBgn0003495,Spaetzle
FBgn0039478,Peptidase_M13_N
FBgn0039476,Lipase/Abhydrolase_6/DUF900
FBgn0039475,Lipase/Abhydrolase_6/DUF900
FBgn0039474,Lipase
FBgn0039473,Lipase/DUF900
FBgn0039472,Lipase/DUF900
FBgn0016061,Ig_3/Ig_2/C2-set_2/ig/I-set/V-set/C1-set/Ig_4/fn3/Ig_5/Izumo-Ig
FBgn0040609,CBM_14
FBgn0010441,PK_Tyr_Ser-Thr/Pkinase/Death
FBgn0046887,7tm_7
FBgn0046886,7tm_7
FBgn0046885,7tm_7
FBgn0039528,Kelch_1/Kelch_4/Kelch_3/Kelch_5/Kelch_6/Kelch_2/PSI/CUB/EGF_2
FBgn0039527,Thyroglobulin_1/Antistasin/WAP/Lustrin_cystein
FBgn0039551,7tm_6
FBgn0027579,GPAT_C/Acyltransferase
FBgn0039564,Peptidase_M13/Peptidase_M13_N
FBgn0039568,Trypsin/Trypsin_2
FBgn0039584,Ig_3/Ig_2/V-set/ig/C2-set_2
FBgn0003137,TSP1_ADAMTS/Kunitz_BPTI/I-set/Ig_3/TSP_1/ADAMTS_spacer1/ig/Ig_2/PLAC/V-set/TSP1_spondin
FBgn0039591,DUF229
FBgn0053346,Endonuclease_NS
FBgn0039593,Endonuclease_NS
FBgn0039594,ABC2_membrane_3/ABC_tran/ABC2_membrane/ABC2_membrane_2/AAA_21
FBgn0039599,Trypsin
FBgn0039598,Trypsin
FBgn0039597,Trypsin
FBgn0039595,7tm_1/7TM_GPCR_Srsx/7TM_GPCR_Srv/7TM_GPCR_Srx
FBgn0039609,Peptidase_M13_N/Peptidase_M13
FBgn0039611,Peptidase_M13/Peptidase_M13_N
FBgn0039613,Peptidase_M13_N/Peptidase_M13
